DivX503b696;DivX 5.0.5Beta(Tahanea);UTC 2003-01
DivX501b487;DivX 5.0.2;UTC 2002-05-16
DivX501b484;DivX 5.0.2;UTC 2002-05-16
DivX501b481;DivX 5.0.2;UTC 2002-05-16
DivX501b450;DivX 5.0.1;UTC 2002-04-09
DivX501b413;DivX 5.0.0;UTC 2002-03-04
XviD0047;XviD 1.2.-127(dev);UTC 2006-11-01
XviD0046;XviD 1.1.2;UTC 2006-11-01
XviD0045;XviD 1.2.0-127;UTC 2006-07-10
XviD0044;XviD 1.11;UTC 2006-07-10
XviD0043;XviD 1.2.0SMP;UTC 2006-01-08
XviD0042;XviD 1.2.0-127;UTC 2005-12
XviD0041;XviD 1.1.0;UTC 2005-11-22
XviD0040;XviD 1.1.0RC;UTC 2005-11-22
XviD0039;XviD 1.1.0Beta2;UTC 2005-04-04
XviD0038;XviD 1.1.0Beta1;UTC 2005-01-16
XviD0037;XviD 1.0.3;UTC 2004-12-20
XviD0036;XviD 1.0.2;UTC 2004-08-29
XviD0035;XviD 1.0.1;UTC 2004-06-05
XviD0034;XviD 1.0.0;UTC 2004-05-09
XviD0033;XviD 1.0.0RC4d;UTC 2004-05-03
XviD0032;XviD 1.0.0RC4c;UTC 2004-05-02
XviD0031;XviD 1.0.0RC4b;UTC 2004-04-15
XviD0030;XviD 1.0.0RC4(Hola);UTC 2004-04-05
XviD0029;XviD 1.0.0RC3(Nihao);UTC 2004-03-22
XviD0028;XviD 1.0.0RC2(Jambo);UTC 2004-02-01
XviD0027;XviD 1.0.0RC1b;UTC 2004-01-30
XviD0026;XviD 1.0.0RC1(Niltze);UTC 2004-01-26
XviD0025;XviD 1.0.0Beta3(Selam);UTC 2003-12-27
XviD0024;XviD 1.0.0Beta2.5;UTC 2003-12-18
XviD0023;XviD 1.0.0Beta2(Ciao);UTC 2003-12-06
XviD0022;XviD 1.0.0Beta1.5;UTC 2003-12-03
XviD0021;XviD 1.0.0Beta1(Aloha);UTC 2003-11-29
XviD0020;XviD 0.0.0;UTC 2003-10-09
XviD0019;XviD 0.0.0;UTC 2003-09-28
XviD0018;XviD 0.0.0;UTC 2003-09-04
XviD0017;XviD 0.0.0;UTC 2003-08-06
XviD0016;XviD 0.0.0;UTC 2003-07-28
XviD0015;XviD 0.0.0;UTC 2003-07-28
XviD0014;XviD 0.0.0;UTC 2003-06-28
XviD0013;XviD 0.0.0;UTC 2003-06-11
XviD0012;XviD 0.0.0;UTC 2003-06-11
XviD0011;XviD 0.0.0;UTC 2003-06-09
XviD0010;XviD 0.0.0;UTC 2003-06-09
XviD0009;XviD 0.0.0;UTC 2003-03-25
XviD0008;XviD 0.0.0;UTC 2003-01-14
XviD0007;XviD 0.0.0;UTC 2003-01-13
XviD0006;XviD 0.0.0;UTC 2003-01-12
XviD0005;XviD 0.0.0;UTC 2003-01-11
XviD0004;XviD 0.0.0;UTC 2003-01
XviD0003;XviD 0.0.0;UTC 2002-12-09
XviD0002;XviD 0.0.0;UTC 2002-10-30
XviD0001;XviD 0.0.0;UTC 2002-10-17
