8A;;2CC;SX20;;;Multitude;
8B;;2CC;ADPCM;;CBR;Infocom ITS A/S
8C;;2CC;G.729;;CBR;Convedia Corporation
91;;2CC;SBC24;;;Siemens Business Communications Sys 24
92;;2CC;AC-3;;CBR;Sonic Foundry AC3 SPDIF
93;;2CC;G.723;;CBR;MediaSonic G723
94;;2CC;Prosody 8KBPS;;;Aculab plc Prosody 8KBPS
97;;2CC;ADPCM;;CBR;ZyXEL Communications ADPCM
98;;2CC;LPCBB;;;Philips Speech Processing LPCBB
99;;2CC;Packed;;;Studer Professional Audio AG Packed
A0;;2CC;PHONYTALK;;;Malden Electronics PHONYTALK
A1;;2CC;GSM;;;Racal Recorders
A2;;2CC;G.720a;;CBR;Racal Recorders
A3;;2CC;G.723.1;;CBR;Racal Recorders
A4;;2CC;ACELP;;CBR;Racal Recorders
B0;;2CC;AAC;;;NEC Corporation
FF;;2CC;AAC;;;
100;;2CC;ADPCM;;CBR;;
101;;2CC;IRAT;;;BeCubed IRAT;
102;;2CC;ADPCM;A-Law;CBR;IBM A-law;
103;;2CC;ADPCM;;CBR;IBM AVC ADPCM;
111;;2CC;G.723;;CBR;Vivo G723;
112;;2CC;SIREN;;;Vivo SIREN;
120;;2CC;CELP;;;Philips Speech Processing;
121;;2CC;Grundig;;;Philips Speech Processing;
123;;2CC;G.723;;CBR;Digital Equipment Corporation (DEC) G723;
125;;2CC;ADPCM;;CBR;;
130;;2CC;ACEPL;;;Sipro ACEPL.net;http://dividix.host.sk
131;;2CC;ACELP4800;;;Sipro ACELP4800;
132;;2CC;ACELP8V3;;;Sipro ACELP8V3;
133;;2CC;G.729;;CBR;Sipro G729;
134;;2CC;G.729a;;CBR;Sipro G729A;
135;;2CC;KELVIN;;;Sipro KELVIN;
135;;2CC;AMR;;;VoiceAge Corporation;
140;;2CC;ADPCM;;CBR;Dictaphone Corporation G726 ADPCM;
140;;2CC;CELP68;;;Dictaphone Corporation;
140;;2CC;CELP54;;;Dictaphone Corporation;
150;;2CC;PureVoice;;;Qualcomm PUREVOICE;
151;;2CC;HalfRate;;;Qualcomm HALFRATE;
155;;2CC;TUBGSM;;;Ring Zero Systems TUBGSM;
160;;2CC;WMA1;;;Windows Media Audio 1;http://www.microsoft.com/windows/windowsmedia/format/codecdownload.aspx
161;;2CC;WMA2;;;Windows Media Audio 2;http://www.microsoft.com/windows/windowsmedia/format/codecdownload.aspx
162;;2CC;WMA3;;;Windows Media Audio 3;http://www.microsoft.com/windows/windowsmedia/format/codecdownload.aspx
163;;2CC;WMA Lossless;;;Windows Media Audio 3;http://www.microsoft.com/windows/windowsmedia/format/codecdownload.aspx
163;;2CC;WMA Pro;;;WMA Pro over S/PDIF;
170;;2CC;ADPCM;;CBR;Unisys Nap ADPCM;
171;;2CC;ADPCM;U-Law;CBR;Unisys Nap U-law;
172;;2CC;ADPCM;A-Law;CBR;Unisys Nap A-law;
173;;2CC;16K;;;Unisys Nap 16K;
174;;2CC;G.700;;;SyCom Technologies
175;;2CC;ADPCM;;CBR;SyCom Technologies
176;;2CC;CELP54;;;SyCom Technologies
177;;2CC;CELP68;;;SyCom Technologies
178;;2CC;ADPCM;;CBR;Knowledge Adventure, Inc.
180;;2CC;AAC;;;Fraunhofer IIS
190;;2CC;DTS;;CBR;
200;;2CC;ADPCM;;CBR;Creative Labs ADPCM
202;;2CC;FastSpeech8;;;Creative Labs Fast Speech 8
203;;2CC;FastSpeech10;;;Creative Labs Fast Speech 10
210;;2CC;ADPCM;;CBR;UHER informatic GmbH ADPCM
215;;2CC;ACM;;;Ulead DV ACM
216;;2CC;ACM;;;Ulead DV ACM
220;;2CC;QuaterDeck;;;Quarterdeck
230;;2CC;VC;;;I-link VC
240;;2CC;RAW_SPORT;;;Aureal RAW_SPORT
241;;2CC;AC3;;;ESST AC3;
250;;2CC;HSX;;;Interactive Products, Inc. (IPI) HSX;
251;;2CC;RPELP;;;Interactive Products, Inc. (IPI) RPELP;
260;;2CC;CS2;;;Consistent Software CS2;
270;;2CC;SCX;;;Sony;
271;;2CC;SCY;;;Sony;
272;;2CC;Atrac3;;;Sony;
273;;2CC;SPC;;;Sony;
280;;2CC;Telum;;;;
281;;2CC;TelumIA;;;;
285;;2CC;ADPCM;;CBR;Norcom Voice Systems;
300;;2CC;FM_TOWNS_SND;;;Fujitsu FM_TOWNS_SND;
350;;2CC;Dev;;;Micronas Semiconductors, Inc.;
351;;2CC;CELP833;;;Micronas Semiconductors, Inc.;
400;;2CC;BTV_DIGITAL;;;Brooktree (BTV) DIGITAL;
401;;2CC;Music Coder;;;Intel Music Coder;http://www.intel.com/
402;;2CC;IAC2;;;Ligos IAC2;http://www.ligos.com
450;;2CC;Qdesign;;;QDesign Music;
500;;2CC;VP7;;;On2 VP7 Audio;http://www.on2.com/vp7.php3
501;;2CC;VP6;;;On2 VP7 Audio;http://www.on2.com/vp7.php3
680;;2CC;VM;;;AT&T VME_VMPCM;
681;;2CC;TPC;;;AT&T TPC;
700;;2CC;YMPEG;;;YMPEG Alpha;
8AE;;2CC;LiteWave;;;ClearJump LiteWave;
AAC;;2CC;AAC;;;;
1000;;2CC;GSM;;;Ing C. Olivetti & C., S.p.A. GSM;
1001;;2CC;ADPCM;;CBR;Ing C. Olivetti & C., S.p.A. ADPCM;
1002;;2CC;CELP;;;Ing C. Olivetti & C., S.p.A. CELP;
1003;;2CC;SBC;;;Ing C. Olivetti & C., S.p.A. SBC;
1004;;2CC;OPR;;;Ing C. Olivetti & C., S.p.A. OPR;
1100;;2CC;LH_CODEC;;;Lernout & Hauspie Codec;
1101;;2CC;CELP;;;Lernout & Hauspie CELP 4.8 kb/s;http://www.microsoft.com/windows/
1102;;2CC;SBC;;;Lernout & Hauspie SBC 8 kb/s;http://www.microsoft.com/windows/
1103;;2CC;SBC;;;Lernout & Hauspie SBC 12 kb/s;http://www.microsoft.com/windows/
1104;;2CC;SBC;;;Lernout & Hauspie SBC 16 kb/s;http://www.microsoft.com/windows/
1400;;2CC;NORRIS;;;Norris Communications, Inc.;
1401;;2CC;ISIAUDIO;;;ISIAudio;
1500;;2CC;MUSICOMPRESS;;;Soundspace Music Compression;
181C;;2CC;RT24;;;VoxWare RT24 speech codec;
181E;;2CC;AX24000P;;;Lucent elemedia AX24000P Music codec;
1971;;2CC;SonicFoundry;;;Lossless;
1C03;;2CC;ADPCM;;CBR;Lucent SX5363S G.723 compliant codec;
1C07;;2CC;SX8300P;;;Lucent SX8300P speech codec;
1C0C;;2CC;ADPCM;;CBR;Lucent SX5363S G.723 compliant codec;
1F03;;2CC;DigiTalk;;;CUseeMe DigiTalk (ex-Rocwell);
1FC4;;2CC;ALF2CD;;;NCT Soft ALF2CD ACM;
2000;;2CC;AC-3;;CBR;;
2001;;2CC;DTS;;;Digital Theater Systems;
2002;;2CC;VSELP;;;RealAudio 1/2 14.4;
2003;;2CC;VSELP;;;RealAudio 1/2 28.8;
2004;;2CC;Cooker;;;RealAudio G2/8 Cook (low bitrate);
2005;;2CC;DNET;;;RealAudio 3/4/5 Music (DNET);
2006;;2CC;AAC;;;RealAudio 10 AAC (RAAC);
2007;;2CC;AAC;;;RealAudio 10 AAC+ (RACP);
3313;;2CC;AviSynth;;;makeAVIS (fake AVI sound from AviSynth scripts);
4143;;2CC;AAC;;;Divio MPEG-4 AAC audio;
4201;;2CC;Nokia;;;;
4243;;2CC;ADPCM;;CBR;G726;
43AC;;2CC;Speex;;;;
564C;;2CC;Vorbis;;;;
566F;;2CC;Vorbis;;;;http://www.vorbis.com
5756;;2CC;WavPack;;;;http://www.wavpack.com/
674F;;2CC;Vorbis;;;Mode 1;http://www.vorbis.com
6750;;2CC;Vorbis;;;Mode 2;http://www.vorbis.com
6751;;2CC;Vorbis;;;Mode 3;http://www.vorbis.com
676F;;2CC;Vorbis;;;Mode 1+;http://www.vorbis.com
