G2M2;;4CC;GoToMeeting2;;;Citrix Systems, Inc.;http://www.gotomeeting.com/
G2M3;;4CC;GoToMeeting3;;;Citrix Systems, Inc.;http://www.gotomeeting.com/
GEPJ;;4CC;White Pine M-JPEG;;;White Pine M-JPEG;
GJPG;;4CC;Grand Tech GT891x;;;Grand Tech GT891x;
GLCC;;4CC;GigaLink;;;GigaLink AV Capture;
GLZW;Gabest;4CC;LZW;;;Motion LZW by Gabest;http://sourceforge.net/project/showfiles.php?group_id=82303&package_id=84358
GPEG;Gabest;4CC;M-JPEG;;;M-JPEG by Gabest (with floating point);http://sourceforge.net/project/showfiles.php?group_id=82303&package_id=84358
GPJM;Pinnacle;4CC;M-JPEG;;;Pinnacle ReelTime M-JPEG;
GREY;;4CC;YUV;;;Simple grayscale video;http://www.fourcc.org/indexyuv.htm
GWLT;;4CC;MS GWLT;;;Microsoft Greyscale WLT DIB;
GXVE;;4CC;ViVD V2;;;SoftMedia;
H260;Intel;4CC;H.260;;;Intel H.260;
H261;Intel;4CC;H.261;;;Intel H.261;
H262;Intel;4CC;H.262;;;Intel H.262;
H263;Intel;4CC;H.263;;;Intel H.263;
H264;;4CC;AVC;;;Intel H.264;
H265;Intel;4CC;H.265;;;Intel H.265;
H266;Intel;4CC;H.266;;;Intel H.266
H267;Intel;4CC;H.267;;;Intel H.267
H268;Intel;4CC;H.268;;;Intel H.268
H269;Intel;4CC;H.263;;;Intel H.263 for POTS-based videoconferencing
HD10;;4CC;BlueFish;;;BlueFish444 (lossless RGBA, YUV 10-bit)
HDX4;;4CC;Jomigo;;;Jomigo HDX4
HFYU;;4CC;Huffman;;;Huffman Lossless YUV and RGB formats (with Alpha-channel)
HMCR;;4CC;Rendition;;;Rendition Motion Compensation Format
HMRR;;4CC;Rendition;;;Rendition Motion Compensation Format
i263;Intel;4CC;H.263;;;Intel H.263
I420;Intel;4CC;H.263;;;Intel Indeo 4 H.263
IAN ;;4CC;Indeo 4;;;Intel Indeo 4
ICLB;;4CC;CellB;;;InSoft CellB Videoconferencing
IDM0;;4CC;Wavelets 2;;;IDM Motion Wavelets 2.0
IF09;Microsoft;4CC;H.261;;;Microsoft H.261
IFO9;;4CC;YUV;;;Intel
IGOR;;4CC;PowerDVD;;;Power DVD;
IJPG;Intergraph;4CC;M-JPEG;;;Intergraph;
ILVC;;4CC;Layered Video;;;Intel Layered Video;
ILVR;H.263+;4CC;H.263;;;Intel H.263+;
IMAC;;4CC;MotionComp;;;Intel hardware motion compensation.;
IMC1;;4CC;YUV;;;As YV12, except the U and V planes each have the same stride as the Y plane;
IMC2;;4CC;YUV;;;Similar to IMC1, except that the U and V lines are interleaved at half stride boundaries;
IMC3;;4CC;YUV;;;As IMC1, except that U and V are swapped;
IMC4;;4CC;YUV;;;As IMC2, except that U and V are swapped;
IMG ;;4CC;YUV;;;;
IMJG;;4CC;Accom M-JPEG;;;Accom SphereOUS M-JPEG with Alpha-channel;
IPDV;;4CC;I-O DV;;;I-O Data Device Giga AVI DV;
IPJ2;;4CC;M-JPEG2000;;;Image Power JPEG2000;
IR21;;4CC;Indeo 2.1;;;Intel Indeo 2.1;
IRAW;;4CC;YUV;;;Intel YUV Uncompressed;http://www.fourcc.org/indexyuv.htm
ISME;;4CC;ISME;;;Intel;
IUYV;;4CC;YUV;;;Lead 16bpp. Interlaced version of UYVY (line order 0, 2, 4,....,1, 3, 5....)
IV30;;4CC;Indeo 3;;;Intel Indeo Video 3
IV31;;4CC;Indeo 3;;;Intel Indeo Video 3.1
IV32;;4CC;Indeo 3;;;Intel Indeo Video 3.2
IV33;;4CC;Indeo 3;;;Intel Indeo Video 3.3
IV34;;4CC;Indeo 3;;;Intel Indeo Video 3.4
IV35;;4CC;Indeo 3;;;Intel Indeo Video 3.5
