Atrac;;;A;;;;audio/ATRAC;
Atrac3;;;A;;;;audio/ATRAC3;
AU;;;A;Au;uLaw/AU Audio File;au;audio/basic;
DTS;;;A;Dts;Digital Theater Systems;dts;;
DTS-HD;;;A;Dts;Digital Theater Systems;dts;;
E-AC-3;;;A;Ac3;Audio Coding 3;dd+;audio/eac3;
Extended Module;;;A;ExtendedModule;;xm;;
FLAC;;;A;Flac;Free Lossless Audio Codec;flac;;http://flac.sourceforge.net/
G.719;;;A;;;;audio/G719;
G.722;;;A;;;;audio/G722;
G.722.1;;;A;;;;audio/G7221;
G.723;;;A;;;;audio/G723;
G.729;;;A;;;;audio/G729;
G.729.1;;;A;;;;audio/G7291;
Impulse Tracker;;;A;ImpulseTracker;;it;;
LA;;;A;La;Lossless Audio Codec;la;;http://www.lossless-audio.com/
MIDI;;;A;Riff;RIFF Musical Instrument Digital Interface;midi mid kar;audio/midi;
Module;;;A;Module;;mod;;
Monkey's Audio;;;A;Ape;;ape mac;;http://www.monkeysaudio.com/
MPEG Audio;;;A;Mpega;;m1a mpa1 mp1 m2a mpa2 mp2 mp3;audio/mpeg;
Musepack SV7;;;A;Mpc;;mpc;;http://www.musepack.net
Musepack SV8;;;A;Mpc;;mp+;;http://www.musepack.net
QCELP;;;A;;;;audio/QCELP;
RIFF-MIDI;;;A;Riff;RIFF Musical Instrument Digital Interface;;;
Scream Tracker 3;;;A;S3m;;s3m;;
Shorten;;;A;;;shn;;http://etree.org/shnutils/shorten/
SLS;;;A;;MPEG-4 Scalable Lossless Coding;sls;;http://www.chiariglione.org/mpeg/technologies/mp04-sls/index.htm
Speex;;;A;;;;audio/speex;
TAK;;;A;;;tak;;http://thbeck.de/Tak/Tak.html
TrueHD;;;A;Ac3;;dts;;
TwinVQ;;;A;TwinVQ;Transform domain Weighted INterleave Vector Quantization;vqf;;http://www.twinvq.org/english/index_en.html
Vorbis;;;A;;;;audio/vorbis;
Wave;;;A;Riff;;wav;audio/vnd.wave;
Wave64;;;A;Riff;;w64;;
WavPack;;;A;Wvpk;;wv wvc;;http://www.wavpack.com
Bitmap;;;I;Bmp;;bmp;image/bmp;
DIB;;;I;Riff;RIFF Device Independent Bitmap;;;
GIF;;;I;Gif;Graphics Interchange Format;gif;image/gif;
ICO;;;I;Ico;;ico;image/vnd.microsoft.icon;
JNG;;;I;Jng;JPEG Network Graphic;jng;;
JPEG;;;I;Jpeg;;jpeg jpg jpe;image/jpeg;
JPEG2000;;;I;Jpeg;;jp2;image/jp2;http://www.morgan-multimedia.com/JPEG2000/
LZ77;;;I;;;;;
MNG;;;I;Mng;Multiple-Image Network Graphic;mng;;
PNG;;;I;Png;Portable Network Graphic;png;image/png;
RIFF Palette;;;I;Riff;RIFF Palette;;;
RLE;;;I;;Run-length encoding;rle;;
TIFF;;;I;Tiff;;tiff tif;image/tiff;
7-Zip;;;C;7z;;7z;;http://7-zip.org
ACE;;;C;Ace;;ace;;http://winace.com
ELF;;;C;Elf;;so;;
MZ;;;C;Mz;;exe dll;;
RAR;;;C;Rar;From Rarlabs;rar;application/x-rar-compressed;http://rarlabs.com
ZIP;;;C;Zip;;zip;application/zip;http://winzip.com
Adobe encore DVD;;;T;Other;;txt;;http://www.adobe.fr/products/encore/
AQTitle;;;T;Other;;aqt;;http://www.volny.cz/aberka/czech/aqt.html
ASS;;;T;Other;;ssa;;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
Captions 32;;;T;Other;;txt;;
Captions Inc;;;T;Other;;txt;;
CPC Captioning;;;T;Other;;txt;;http://www.cpcweb.com/Captioning/cap_software.htm
Cheeta;;;T;Other;;asc;;
SSA;;;T;Other;;ssa;;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
SubRip;;;T;Other;;srt;;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
Blender;;;O;Other;;blenders;;http://www.blender3d.com
AutoCAD;;;O;Other;;;;http://www.autodesk.com
N19;;;T;N19;;stl;;
